date,property,description,amount,type,category,source,notes
2024-05-16,,Wise bank details acquisition,-31.00,expense,banking_fee,wise,Account setup
2024-05-24,,Owner Contribution - initial funding,90000.00,owner_contribution,funding,wise,From personal account (fee: $6.11)
2024-05-24,,Wise fee - initial funding,-6.11,expense,wire_fee,wise,
2024-06-12,oakfield,Closing costs - Regions Title Agency,-67558.26,expense,acquisition,wise,20259 Oakfield purchase
2024-06-12,,Wise fee,-1.13,expense,wire_fee,wise,
2024-06-15,,VU Investments,-550.00,expense,acquisition,wise,
2024-06-15,,Wise fee,-1.13,expense,wire_fee,wise,
2024-06-26,oakfield,Insurance - Breckenridge,-996.08,expense,insurance,wise,Property insurance
2024-07-02,,Tradewinds - onboarding,-600.00,expense,pm_fees,wise,Paid to TWDG
2024-07-03,,Jlewspecs LLC - inspection,-545.00,expense,inspection,wise,Property inspection
2024-07-03,,Wise fee,-1.13,expense,wire_fee,wise,
2024-07-04,oakfield,Detroit Water,-37.01,expense,utilities,wise,
2024-07-04,haverhill,EMD - Leading Edge Title,-850.00,expense,acquisition,wise,4300 Haverhill earnest money
2024-07-04,,Wise fee,-1.13,expense,wire_fee,wise,
2024-07-05,,Owner Contribution,10000.00,owner_contribution,funding,wise,From personal
2024-07-06,,Owner Contribution,55000.00,owner_contribution,funding,wise,LLC contribution (fee: $6.11)
2024-07-06,,Wise fee,-6.11,expense,wire_fee,wise,
2024-07-12,haverhill,Closing costs - Leading Edge Title,-68022.47,expense,acquisition,wise,4300 Haverhill purchase
2024-07-12,,Wise fee,-1.13,expense,wire_fee,wise,
2024-07-12,haverhill,Closing costs - Leading Edge Title (adjustment),-1600.00,expense,acquisition,wise,4300 Haverhill
2024-07-12,,Wise fee,-1.13,expense,wire_fee,wise,
2024-07-15,haverhill,Insurance - REInsurePro,-136.51,expense,insurance,wise,Monthly premium
2024-07-17,,Owner Contribution,15000.00,owner_contribution,funding,wise,
2024-08-08,oakfield,Detroit Water,-35.25,expense,utilities,wise,
2024-08-14,haverhill,Insurance - REInsurePro,-93.51,expense,insurance,wise,Monthly premium
2024-09-11,,Owner Contribution,5000.00,owner_contribution,funding,wise,
2024-09-12,oakfield,Detroit Water,-36.38,expense,utilities,wise,
2024-09-16,haverhill,Insurance - REInsurePro,-93.51,expense,insurance,wise,Monthly premium
2024-10-10,oakfield,Detroit Water,-36.38,expense,utilities,wise,
2024-10-16,haverhill,Insurance - REInsurePro,-93.51,expense,insurance,wise,Monthly premium
